bin,good_count,bad_count,good_distribution,bad_distribution,WOE,IV,feature
A11,100.0,92.0,0.20408163265306123,0.4380952380952381,-0.7639162514481526,0.17876679625725475,checking_account
A12,114.0,74.0,0.23265306122448978,0.3523809523809524,-0.41516450519687803,0.049706770690238475,checking_account
A13,32.0,12.0,0.0653061224489796,0.05714285714285714,0.13353139262452277,0.0010900521846899827,checking_account
A14,244.0,32.0,0.49795918367346936,0.1523809523809524,1.1841344621062715,0.40921109302720127,checking_account
A30,12.0,16.0,0.024489795918367346,0.0761904761904762,-1.1349799328389847,0.058679234622967924,credit_history
A31,17.0,21.0,0.03469387755102041,0.1,-1.0586069540544105,0.06913351536681865,credit_history
A32,247.0,115.0,0.5040816326530613,0.5476190476190477,-0.0828416521224765,0.0036067113849241475,credit_history
A33,45.0,22.0,0.09183673469387756,0.10476190476190476,-0.1316778239751997,0.0017019582690672066,credit_history
A34,169.0,36.0,0.3448979591836735,0.17142857142857143,0.6990819160797599,0.12126931197301959,credit_history
A40,113.0,58.0,0.23061224489795917,0.2761904761904762,-0.18035305222128248,0.008220173128453016,purpose
A41,61.0,15.0,0.12448979591836734,0.07142857142857142,0.5555258026838976,0.029476879326084362,purpose
A410,4.0,2.0,0.00816326530612245,0.009523809523809525,-0.15415067982725836,0.000209728816091508,purpose
A42,85.0,41.0,0.17346938775510204,0.19523809523809524,-0.11821867060119493,0.00257346765934574,purpose
A43,144.0,42.0,0.2938775510204082,0.2,0.38484582090542874,0.03612838318704025,purpose
A44,7.0,3.0,0.014285714285714285,0.014285714285714285,0.0,0.0,purpose
A45,10.0,6.0,0.02040816326530612,0.02857142857142857,-0.3364722366212129,0.002746712135683371,purpose
A46,17.0,18.0,0.03469387755102041,0.08571428571428572,-0.9044562742271522,0.046145728276895524,purpose
A48,4.0,1.0,0.00816326530612245,0.004761904761904762,0.5389965007326869,0.001833321431063561,purpose
A49,45.0,24.0,0.09183673469387756,0.11428571428571428,-0.21868920096482944,0.0049093494094145365,purpose
A61,264.0,153.0,0.5387755102040817,0.7285714285714285,-0.30178667863332287,0.057277879822242896,savings_account
A62,55.0,26.0,0.11224489795918367,0.12380952380952381,-0.09806121317621475,0.0011340412408133683,savings_account
A63,34.0,7.0,0.06938775510204082,0.03333333333333333,0.7331525151736445,0.026433390002859294,savings_account
A64,32.0,5.0,0.0653061224489796,0.023809523809523808,1.0090001299784228,0.04187007342087334,savings_account
A65,105.0,19.0,0.21428571428571427,0.09047619047619047,0.8622235106038793,0.10675148226524218,savings_account
A71,20.0,17.0,0.04081632653061224,0.08095238095238096,-0.6847789308894288,0.02748432443705871,employment
A72,68.0,52.0,0.13877551020408163,0.24761904761904763,-0.5790338737925242,0.06302409510666931,employment
A73,176.0,70.0,0.35918367346938773,0.3333333333333333,0.07469089260158922,0.0019307849788165916,employment
A74,90.0,23.0,0.1836734693877551,0.10952380952380952,0.5170175940139118,0.03833667873980707,employment
A75,136.0,48.0,0.27755102040816326,0.22857142857142856,0.19415601444095756,0.00950968233996527,employment
A91,24.0,14.0,0.04897959183673469,0.06666666666666667,-0.3083013596545167,0.005452949218379207,personal_status_sex
A92,135.0,74.0,0.2755102040816326,0.3523809523809524,-0.24608817515294407,0.018916982171620883,personal_status_sex
A93,283.0,103.0,0.5775510204081633,0.49047619047619045,0.16342004902639837,0.014229772976448304,personal_status_sex
A94,48.0,19.0,0.09795918367346938,0.09047619047619047,0.0794641713542468,0.0005946298536712343,personal_status_sex
A101,446.0,190.0,0.9102040816326531,0.9047619047619048,0.005997019472374266,3.263684066598257e-05,other_debtors
A102,17.0,13.0,0.03469387755102041,0.06190476190476191,-0.5790338737925242,0.01575602377666733,other_debtors
A103,27.0,7.0,0.05510204081632653,0.03333333333333333,0.5026288565618122,0.010941580551005437,other_debtors
A121,157.0,42.0,0.32040816326530613,0.2,0.47127832667773606,0.056745757702013115,property
A122,113.0,46.0,0.23061224489795917,0.21904761904761905,0.051448561836041996,0.0005949833681719137,property
A123,160.0,71.0,0.32653061224489793,0.3380952380952381,-0.03480392219469223,0.0004024943383059662,property
A124,60.0,51.0,0.12244897959183673,0.24285714285714285,-0.6847789308894288,0.08245297331117611,property
